ID,GHS_Hazard_Codes,GHS_Precautionary_Statements,GHS_Pictograms,GHS_SignalWord,ImageURL
AS-2748,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/AS-2748.png
AS-2749,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/AS-2749.png
AS-7041,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/AS-7041.png
AS-7043,"H302,H312,H315,H319,H332,H335","P260,P262,P270,P280,P305 + P351 + P338,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/AS-7043.png
AS-7044,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/AS-7044.png
AS-7045,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/AS-7045.png
AS-7046,"H302,H312,H315,H319,H332,H335","P260,P262,P270,P280,P305 + P351 + P338,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/AS-7046.png
BD-0071,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BD-0071.png
BD-0082,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BD-0082.png
BD-0114,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BD-0114.png
BE-0211,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BE-0211.png
BG-0045,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BG-0045.png
BH-0014,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BH-0014.png
BH-0015,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BH-0015.png
BS-1000,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1000.png
BS-1001,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1001.png
BS-1002,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1002.png
BS-1003,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1003.png
BS-1004,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1004.png
BS-1005,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1005.png
BS-1006,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1006.png
BS-1007,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1007.png
BS-1008,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1008.png
BS-1009,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1009.png
BS-1010,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1010.png
BS-1011,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1011.png
BS-1012,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1012.png
BS-1013,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1013.png
BS-1014,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1014.png
BS-1015,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1015.png
BS-1016,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1016.png
BS-1017,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1017.png
BS-1018,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1018.png
BS-1019,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1019.png
BS-1020,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/BS-1020.png
CE-0072,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/CE-0072.png
CE-0108,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/CE-0108.png
CE-0231,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/CE-0231.png
CF-0252,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/CF-0252.png
CH-0025,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/CH-0025.png
CH-0056,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/CH-0056.png
DE-0005,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DE-0005.png
DE-0037,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DE-0037.png
DE-0049,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DE-0049.png
DE-0052,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DE-0052.png
DE-0055,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DE-0055.png
DE-0216,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DE-0216.png
DE-0223,H361,"P201,P202,P281,P308 + P313",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DE-0223.png
DG-0025,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DG-0025.png
DG-0043,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DG-0043.png
DH-0008,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DH-0008.png
DH-0070,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DH-0070.png
DH-0071,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/DH-0071.png
EE-0005,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EE-0005.png
EE-0007,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EE-0007.png
EE-0021,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EE-0021.png
EE-0043,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EE-0043.png
EE-0048,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EE-0048.png
EE-0052,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EE-0052.png
EE-0056,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EE-0056.png
EE-0200,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EE-0200.png
EG-0074,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EG-0074.png
EG-0076,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EG-0076.png
EG-0081,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EG-0081.png
EG-0202,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EG-0202.png
EK-0017,"H302,H312,H315,H319,H332,H335","P260,P262,P270,P280,P305 + P351 + P338,P402 + P404,P411,P422",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EK-0017.png
EK-0047,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/EK-0047.png
ES-0001,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0001.png
ES-0003,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0003.png
ES-0004,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0004.png
ES-0005,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0005.png
ES-0007,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0007.png
ES-0008,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0008.png
ES-0010,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0010.png
ES-0012,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0012.png
ES-0013,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0013.png
ES-0014,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0014.png
ES-0015,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0015.png
ES-0016,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0016.png
ES-0017,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0017.png
ES-0018,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0018.png
ES-0019,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/ES-0019.png
